EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
7.698,2.991,6.103,5.289,4.446,3.148,0.713,2.262,0.036,1.001,-0.207,-0.336,-0.702,-0.763,100.000,41820.000,1.000
7.964,4.321,6.890,6.611,6.221,2.686,1.927,4.254,0.035,1.001,-0.210,-0.458,-0.793,-0.763,100.000,41821.000,1.000
7.082,4.840,6.849,6.917,7.464,2.447,3.121,5.423,0.035,1.002,-0.208,-0.519,-0.702,-0.671,100.000,41822.000,1.000
4.953,4.102,5.677,6.004,7.622,1.875,3.510,5.246,0.035,1.002,-0.208,-0.488,-0.732,-0.549,100.000,41823.000,1.000
2.207,2.488,3.871,4.470,6.875,0.870,3.129,4.007,0.036,1.001,-0.208,-0.549,-0.824,-0.458,100.000,41824.000,1.000
-0.084,0.962,2.418,3.364,6.051,0.010,2.747,2.645,0.037,1.000,-0.210,-0.702,-0.671,-0.488,100.000,41825.000,1.000
-1.128,0.299,1.956,3.350,5.836,-0.070,2.958,1.923,0.034,1.002,-0.208,-0.793,-0.671,-0.763,100.000,41826.000,1.000
-0.793,0.561,2.359,4.244,6.206,0.615,3.657,1.899,0.033,1.002,-0.208,-0.824,-0.732,-0.580,100.000,41827.000,1.000
0.533,1.173,3.005,5.298,6.543,1.438,4.353,2.210,0.035,1.002,-0.206,-0.946,-0.580,-0.549,100.000,41828.000,1.000
2.226,1.447,3.292,5.780,6.145,1.828,4.695,2.531,0.034,1.001,-0.206,-1.129,-0.580,-0.580,100.000,41829.000,1.000
3.599,1.049,2.931,5.317,4.629,1.666,4.575,2.568,0.035,1.002,-0.207,-1.251,-0.427,-0.580,100.000,41830.000,1.000
4.164,0.146,2.005,3.981,2.157,1.147,3.917,1.985,0.037,1.000,-0.206,-1.312,-0.427,-0.549,100.000,41831.000,1.000
3.928,-0.718,0.920,2.230,-0.568,0.564,2.689,0.701,0.036,1.000,-0.206,-1.282,-0.427,-0.580,100.000,41832.000,1.000
3.359,-0.921,0.182,0.702,-2.604,0.192,1.145,-0.874,0.037,1.001,-0.206,-1.495,-0.275,-0.519,100.000,41833.000,1.000
3.056,-0.113,0.180,0.006,-3.193,0.245,-0.096,-2.001,0.039,1.001,-0.206,-1.648,-0.275,-0.549,100.000,41834.000,1.000
3.372,1.552,1.056,0.488,-2.102,0.759,-0.440,-2.054,0.038,1.000,-0.209,-1.648,-0.214,-0.427,100.000,41835.000,1.000
4.190,3.435,2.586,1.950,0.185,1.443,0.086,-0.954,0.038,0.999,-0.206,-1.648,-0.092,-0.549,100.000,41836.000,1.000
4.989,4.721,4.215,3.684,2.654,1.855,0.879,0.741,0.037,0.997,-0.205,-1.587,-0.092,-0.549,100.000,41837.000,1.000
5.198,4.822,5.342,4.907,4.321,1.876,1.466,2.241,0.038,0.997,-0.206,-1.526,0.000,-0.519,100.000,41838.000,1.000
4.636,3.715,5.741,5.270,4.803,1.908,1.861,3.059,0.035,0.996,-0.207,-1.495,0.153,-0.610,100.000,41839.000,1.000
3.688,2.040,5.706,4.982,4.475,2.479,2.199,3.212,0.035,0.994,-0.205,-1.526,0.153,-0.488,100.000,41840.000,1.000
2.992,0.739,5.710,4.454,4.057,3.603,2.352,2.873,0.033,0.995,-0.204,-1.404,0.214,-0.427,100.000,41841.000,1.000
2.918,0.480,5.981,3.922,4.052,4.605,2.033,2.073,0.035,0.993,-0.205,-1.465,0.275,-0.488,100.000,41842.000,1.000
3.397,1.345,6.481,3.418,4.567,4.716,1.126,0.874,0.035,0.994,-0.202,-1.282,0.183,-0.397,100.000,41843.000,1.000
4.080,2.945,7.009,2.867,5.421,3.822,-0.062,-0.453,0.032,0.994,-0.206,-1.190,0.244,-0.366,100.000,41844.000,1.000
4.539,4.696,7.250,2.147,6.269,2.568,-0.891,-1.592,0.031,0.994,-0.204,-1.099,0.275,-0.397,100.000,41845.000,1.000
4.492,6.078,6.952,1.268,6.758,1.739,-0.926,-2.259,0.033,0.995,-0.203,-0.977,0.275,-0.397,100.000,41846.000,1.000
3.927,6.801,6.132,0.483,6.691,1.615,-0.377,-2.174,0.033,0.996,-0.203,-0.977,0.244,-0.366,100.000,41847.000,1.000
3.097,6.861,5.063,0.130,6.119,1.923,0.136,-1.223,0.032,0.997,-0.202,-0.793,0.275,-0.183,100.000,41848.000,1.000
