EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-0.323,-0.475,-1.761,-0.371,1.959,2.276,1.166,-1.887,0.046,0.980,-0.288,-1.831,-0.702,0.458,100.000,74133.000,1.000
-1.322,-0.792,-1.988,-0.490,1.558,1.552,1.543,-1.191,0.045,0.980,-0.288,-1.770,-0.641,0.458,100.000,74134.000,1.000
-1.505,-0.739,-1.314,-0.031,1.829,0.914,2.101,-0.498,0.045,0.979,-0.286,-1.801,-0.641,0.366,100.000,74135.000,1.000
-0.737,-0.298,0.018,0.756,2.649,0.317,2.462,-0.041,0.048,0.978,-0.286,-1.740,-0.549,0.427,100.000,74136.000,1.000
0.863,0.567,1.619,1.662,3.784,-0.023,2.462,0.298,0.047,0.975,-0.287,-1.740,-0.610,0.427,100.000,74137.000,1.000
2.753,1.736,3.003,2.479,4.862,0.040,2.058,0.764,0.045,0.974,-0.286,-1.678,-0.458,0.366,100.000,74138.000,1.000
4.142,2.832,3.726,3.023,5.438,0.267,1.292,1.455,0.046,0.977,-0.284,-1.556,-0.366,0.336,100.000,74139.000,1.000
4.459,3.379,3.576,3.224,5.242,0.209,0.382,2.270,0.047,0.976,-0.285,-1.434,-0.397,0.427,100.000,74140.000,1.000
3.641,3.092,2.627,3.101,4.325,-0.388,-0.313,3.073,0.048,0.976,-0.287,-1.495,-0.397,0.366,100.000,74141.000,1.000
1.986,2.018,1.121,2.630,2.973,-1.378,-0.467,3.782,0.049,0.975,-0.286,-1.373,-0.336,0.488,100.000,74142.000,1.000
-0.078,0.475,-0.602,1.801,1.587,-2.254,0.099,4.330,0.050,0.976,-0.285,-1.343,-0.153,0.336,100.000,74143.000,1.000
-1.983,-1.021,-2.055,0.883,0.678,-2.369,1.425,4.735,0.048,0.977,-0.285,-1.282,-0.092,0.244,100.000,74144.000,1.000
-3.075,-1.857,-2.723,0.400,0.703,-1.365,3.335,5.154,0.048,0.978,-0.284,-1.160,0.031,0.305,100.000,74145.000,1.000
