EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
9.462,6.881,8.846,6.592,2.683,-1.800,-4.779,-9.859,0.031,0.988,-0.246,-0.793,0.549,0.031,100.000,63632.000,1.000
8.572,6.817,8.329,5.134,2.169,-1.435,-3.928,-9.075,0.029,0.988,-0.246,-0.824,0.458,-0.122,100.000,63633.000,1.000
6.559,5.350,7.064,3.796,1.525,-2.052,-3.505,-7.374,0.029,0.988,-0.242,-0.885,0.397,-0.214,100.000,63634.000,1.000
3.731,2.596,5.191,2.632,0.932,-3.614,-3.368,-5.071,0.026,0.990,-0.244,-0.793,0.366,-0.122,100.000,63635.000,1.000
0.615,-0.746,3.080,1.525,0.579,-5.342,-3.000,-2.268,0.027,0.991,-0.244,-0.885,0.244,-0.122,100.000,63636.000,1.000
-2.180,-3.803,1.149,0.296,0.542,-6.173,-2.057,0.847,0.027,0.990,-0.246,-0.824,0.183,-0.244,100.000,63637.000,1.000
-4.089,-5.883,-0.216,-1.004,0.816,-5.384,-0.584,3.870,0.027,0.990,-0.245,-0.916,0.214,-0.366,100.000,63638.000,1.000
-4.827,-6.667,-0.816,-2.080,1.286,-3.000,1.274,6.425,0.028,0.990,-0.241,-0.854,0.244,-0.336,100.000,63639.000,1.000
-4.622,-6.321,-0.869,-2.811,1.633,0.255,3.417,8.265,0.027,0.990,-0.240,-0.824,0.031,-0.275,100.000,63640.000,1.000
-4.074,-5.314,-0.844,-3.434,1.481,3.476,5.576,9.134,0.026,0.991,-0.243,-0.885,0.000,-0.275,100.000,63641.000,1.000
-3.665,-4.005,-0.962,-4.197,0.741,6.096,7.276,8.814,0.026,0.992,-0.244,-0.824,-0.031,-0.366,100.000,63642.000,1.000
-3.371,-2.450,-0.982,-5.014,-0.239,8.043,8.220,7.407,0.027,0.991,-0.242,-0.824,-0.061,-0.488,100.000,63643.000,1.000
-2.827,-0.615,-0.545,-5.571,-0.971,9.473,8.470,5.326,0.027,0.990,-0.238,-0.854,-0.092,-0.397,100.000,63644.000,1.000
-1.790,1.298,0.374,-5.655,-1.254,10.379,8.134,2.960,0.026,0.989,-0.239,-0.885,-0.183,-0.458,100.000,63645.000,1.000
-0.323,2.847,1.423,-5.277,-1.243,10.467,7.169,0.538,0.027,0.990,-0.240,-0.854,-0.336,-0.458,100.000,63646.000,1.000
1.273,3.634,2.178,-4.600,-1.196,9.408,5.598,-1.753,0.028,0.988,-0.240,-0.854,-0.305,-0.488,100.000,63647.000,1.000
2.545,3.551,2.371,-3.867,-1.271,7.268,3.728,-3.792,0.028,0.990,-0.243,-0.824,-0.305,-0.427,100.000,63648.000,1.000
3.073,2.855,1.929,-3.378,-1.488,4.827,2.046,-5.749,0.026,0.989,-0.241,-0.702,-0.397,-0.488,100.000,63649.000,1.000
2.722,2.058,0.988,-3.371,-1.754,3.236,0.859,-8.049,0.028,0.989,-0.240,-0.702,-0.458,-0.458,100.000,63650.000,1.000
1.838,1.691,-0.009,-3.688,-1.859,3.048,0.067,-10.852,0.027,0.987,-0.244,-0.732,-0.488,-0.488,100.000,63651.000,1.000
1.228,2.079,-0.355,-3.578,-1.491,3.683,-0.656,-13.555,0.027,0.988,-0.242,-0.671,-0.458,-0.519,100.000,63652.000,1.000
1.700,3.170,0.491,-2.202,-0.452,3.956,-1.523,-15.033,0.026,0.989,-0.240,-0.763,-0.336,-0.427,100.000,63653.000,1.000
3.315,4.311,2.213,0.419,0.914,2.800,-2.725,-14.590,0.028,0.990,-0.243,-0.793,-0.366,-0.397,100.000,63654.000,1.000
5.127,4.311,3.504,3.084,1.617,-0.510,-4.565,-12.537,0.029,0.990,-0.244,-0.702,-0.366,-0.366,100.000,63655.000,1.000
5.863,2.271,3.019,4.298,0.787,-5.860,-6.910,-9.597,0.030,0.990,-0.245,-0.702,-0.244,-0.244,100.000,63656.000,1.000
4.935,-1.435,0.537,3.483,-1.372,-11.767,-8.751,-6.044,0.030,0.989,-0.243,-0.641,-0.275,-0.244,100.000,63657.000,1.000
2.740,-5.322,-2.974,1.242,-3.714,-16.076,-8.936,-1.741,0.032,0.989,-0.242,-0.580,-0.244,-0.153,100.000,63658.000,1.000
0.182,-7.844,-6.152,-1.298,-5.100,-17.389,-7.238,3.297,0.031,0.988,-0.242,-0.519,-0.153,-0.183,100.000,63659.000,1.000
-1.925,-8.144,-7.920,-3.102,-5.012,-15.639,-4.344,8.683,0.032,0.988,-0.241,-0.458,-0.092,-0.153,100.000,63660.000,1.000
-3.178,-6.270,-7.827,-3.547,-3.589,-11.710,-1.078,13.750,0.034,0.990,-0.242,-0.397,0.000,-0.031,100.000,63661.000,1.000
-3.593,-3.188,-6.253,-2.660,-1.525,-6.926,1.934,17.587,0.031,0.989,-0.242,-0.458,0.031,-0.031,100.000,63662.000,1.000
-3.406,-0.392,-4.242,-1.151,0.197,-2.596,4.067,19.138,0.031,0.991,-0.240,-0.519,0.244,0.092,100.000,63663.000,1.000
-2.915,1.014,-2.858,-0.013,0.855,0.518,4.828,17.726,0.032,0.990,-0.242,-0.549,0.336,0.153,100.000,63664.000,1.000
-2.407,0.947,-2.592,0.065,0.424,2.556,4.402,13.701,0.032,0.989,-0.243,-0.519,0.366,0.214,100.000,63665.000,1.000
-2.062,0.080,-3.339,-1.035,-0.606,4.312,3.722,8.392,0.032,0.990,-0.245,-0.458,0.519,0.153,100.000,63666.000,1.000
-1.974,-0.859,-4.764,-3.061,-1.798,6.403,3.599,3.249,0.031,0.989,-0.244,-0.427,0.549,0.153,100.000,63667.000,1.000
-2.270,-1.484,-6.516,-5.614,-3.042,8.558,3.906,-0.941,0.030,0.989,-0.243,-0.427,0.732,0.366,100.000,63668.000,1.000
-3.039,-1.715,-8.104,-8.057,-4.244,9.802,3.851,-4.052,0.033,0.988,-0.244,-0.336,0.763,0.336,100.000,63669.000,1.000
-4.017,-1.574,-8.806,-9.488,-4.968,9.410,2.956,-6.153,0.031,0.987,-0.245,-0.305,0.824,0.183,100.000,63670.000,1.000
-4.434,-1.089,-7.909,-9.089,-4.589,7.489,1.426,-7.302,0.031,0.987,-0.247,-0.183,0.977,0.092,100.000,63671.000,1.000
-3.352,-0.277,-5.064,-6.560,-2.763,4.601,-0.335,-7.615,0.032,0.988,-0.247,-0.031,1.099,0.244,100.000,63672.000,1.000
-0.282,0.919,-0.391,-2.170,0.403,1.258,-2.080,-7.315,0.033,0.987,-0.246,0.000,1.129,0.305,100.000,63673.000,1.000
4.498,2.612,5.569,3.430,4.466,-2.096,-3.599,-6.758,0.031,0.988,-0.245,0.122,1.160,0.336,100.000,63674.000,1.000
10.084,4.750,11.859,9.298,8.679,-5.044,-4.741,-6.430,0.030,0.987,-0.246,0.122,1.190,0.214,100.000,63675.000,1.000
15.186,6.947,17.226,14.249,12.029,-7.362,-5.630,-6.755,0.031,0.988,-0.245,0.183,1.221,0.153,100.000,63676.000,1.000
18.428,8.605,20.506,17.125,13.593,-9.034,-6.498,-7.708,0.030,0.988,-0.243,0.122,1.251,0.183,100.000,63677.000,1.000
18.903,9.297,21.094,17.326,13.032,-9.921,-7.179,-8.601,0.029,0.986,-0.243,0.183,1.282,0.092,100.000,63678.000,1.000
16.647,9.032,19.147,15.120,10.739,-9.679,-7.080,-8.428,0.031,0.987,-0.243,0.275,1.282,0.183,100.000,63679.000,1.000
12.483,8.049,15.325,11.358,7.421,-8.280,-5.934,-6.633,0.029,0.988,-0.243,0.275,1.160,0.183,100.000,63680.000,1.000
7.475,6.441,10.340,6.908,3.615,-6.328,-4.307,-3.575,0.028,0.988,-0.243,0.244,1.190,0.183,100.000,63681.000,1.000
2.485,4.131,4.798,2.377,-0.333,-4.542,-3.020,-0.192,0.027,0.990,-0.241,0.336,1.099,0.122,100.000,63682.000,1.000
-2.009,1.167,-0.676,-1.792,-3.977,-3.161,-2.265,2.731,0.027,0.991,-0.243,0.336,1.038,0.000,100.000,63683.000,1.000
-5.863,-2.091,-5.396,-5.177,-6.718,-1.965,-1.481,5.007,0.029,0.991,-0.243,0.214,1.038,0.122,100.000,63684.000,1.000
-8.974,-4.997,-8.728,-7.335,-7.970,-0.605,0.075,6.966,0.029,0.991,-0.245,0.275,0.946,0.214,100.000,63685.000,1.000
-11.157,-6.831,-10.281,-7.956,-7.401,1.156,2.678,8.999,0.028,0.990,-0.247,0.244,1.007,0.214,100.000,63686.000,1.000
-12.378,-7.258,-10.172,-7.195,-5.218,3.300,5.855,11.034,0.027,0.990,-0.246,0.244,0.732,0.153,100.000,63687.000,1.000
-12.800,-6.607,-9.020,-5.682,-2.203,5.559,8.713,12.490,0.027,0.992,-0.245,0.275,0.671,0.153,100.000,63688.000,1.000
-12.551,-5.597,-7.568,-4.104,0.661,7.549,10.562,12.747,0.025,0.991,-0.247,0.336,0.580,-0.153,100.000,63689.000,1.000
-11.655,-4.796,-6.317,-2.844,2.681,8.923,11.262,11.624,0.028,0.992,-0.245,0.183,0.580,-0.031,100.000,63690.000,1.000
-10.136,-4.329,-5.387,-1.861,3.764,9.538,11.253,9.642,0.025,0.994,-0.242,0.214,0.519,0.000,100.000,63691.000,1.000
-8.120,-3.999,-4.615,-0.842,4.333,9.538,11.198,7.776,0.026,0.992,-0.243,0.122,0.366,0.153,100.000,63692.000,1.000
